demo run with success.

log:

0.36429 0.41920 0.12957 0.19556
0.36667 0.41844 0.13184 0.19504
0.36905 0.41769 0.13408 0.19452
0.37143 0.41697 0.13628 0.19399
0.37381 0.41628 0.13843 0.19346
0.37619 0.41561 0.14055 0.19293
0.37857 0.41497 0.14262 0.19240
0.38095 0.41434 0.14465 0.19186
0.38333 0.41374 0.14665 0.19132
0.38571 0.41316 0.14860 0.19078
0.38810 0.41261 0.15051 0.19024
0.39048 0.41207 0.15238 0.18970
0.39286 0.41155 0.15421 0.18916
0.39524 0.41106 0.15600 0.18862
0.39762 0.41058 0.15774 0.18807
0.40000 0.41013 0.15945 0.18753
0.40238 0.40969 0.16111 0.18699
0.40476 0.40927 0.16274 0.18644
0.40714 0.40886 0.16432 0.18590
0.40952 0.40848 0.16587 0.18536
0.41190 0.40811 0.16737 0.18483
0.41429 0.40776 0.16883 0.18429
0.41667 0.40742 0.17025 0.18376
0.41905 0.40710 0.17164 0.18323
0.42143 0.40679 0.17298 0.18270
0.42381 0.40650 0.17428 0.18218
0.42619 0.40622 0.17554 0.18166
0.42857 0.40596 0.17676 0.18115
0.43095 0.40570 0.17795 0.18064
0.43333 0.40547 0.17909 0.18014
0.43571 0.40524 0.18019 0.17964
0.43810 0.40503 0.18126 0.17915
0.44048 0.40482 0.18229 0.17867
0.44286 0.40463 0.18327 0.17820
0.44524 0.40445 0.18422 0.17774
0.44762 0.40428 0.18513 0.17728
0.45000 0.40412 0.18600 0.17684
0.45238 0.40397 0.18683 0.17641
0.45476 0.40383 0.18763 0.17599
0.45714 0.40370 0.18838 0.17558
0.45952 0.40358 0.18910 0.17518
0.46190 0.40346 0.18978 0.17480
0.46429 0.40336 0.19042 0.17443
0.46667 0.40326 0.19102 0.17407
0.46905 0.40317 0.19158 0.17373
0.47143 0.40308 0.19211 0.17341
0.47381 0.40301 0.19260 0.17311
0.47619 0.40294 0.19305 0.17282
0.47857 0.40288 0.19347 0.17255
0.48095 0.40282 0.19385 0.17230
0.48333 0.40277 0.19419 0.17206
0.48571 0.40273 0.19450 0.17185
0.48810 0.40269 0.19478 0.17165
0.49048 0.40266 0.19502 0.17148
0.49286 0.40263 0.19523 0.17132
0.49524 0.40261 0.19540 0.17119
0.49762 0.40259 0.19555 0.17107
0.00000 0.67076 -0.19186 0.13921
0.00238 0.67076 -0.19187 0.13923
0.00476 0.67077 -0.19189 0.13929
0.00714 0.67079 -0.19191 0.13939
0.00952 0.67081 -0.19194 0.13953
0.01190 0.67084 -0.19199 0.13971
0.01429 0.67088 -0.19204 0.13993
0.01667 0.67091 -0.19210 0.14020
0.01905 0.67095 -0.19217 0.14053
0.02143 0.67099 -0.19225 0.14090
0.02381 0.67102 -0.19232 0.14134
0.02619 0.67106 -0.19240 0.14183
0.02857 0.67108 -0.19248 0.14239
0.03095 0.67110 -0.19256 0.14302
0.03333 0.67110 -0.19263 0.14371
0.03571 0.67109 -0.19269 0.14448
0.03810 0.67107 -0.19274 0.14532
0.04048 0.67103 -0.19278 0.14624
0.04286 0.67097 -0.19281 0.14723
0.04524 0.67088 -0.19282 0.14831
0.04762 0.67078 -0.19281 0.14947
0.05000 0.67065 -0.19277 0.15072
0.05238 0.67048 -0.19270 0.15205
0.05476 0.67029 -0.19261 0.15348
0.05714 0.67007 -0.19250 0.15499
0.05952 0.66981 -0.19234 0.15658
0.06190 0.66952 -0.19215 0.15827
0.06429 0.66919 -0.19192 0.16005
0.06667 0.66882 -0.19165 0.16191
0.06905 0.66841 -0.19134 0.16386
0.07143 0.66796 -0.19099 0.16589
0.07381 0.66747 -0.19058 0.16801
0.07619 0.66693 -0.19013 0.17022
0.07857 0.66636 -0.18963 0.17250
0.08095 0.66573 -0.18908 0.17486
0.08333 0.66506 -0.18847 0.17729
0.08571 0.66435 -0.18781 0.17980
0.08810 0.66359 -0.18709 0.18239
0.09048 0.66278 -0.18632 0.18503
0.09286 0.66192 -0.18548 0.18774
0.09524 0.66102 -0.18459 0.19051
0.09762 0.66008 -0.18364 0.19333
0.10000 0.65908 -0.18262 0.19621
0.10238 0.65804 -0.18154 0.19913
0.10476 0.65695 -0.18040 0.20210
0.10714 0.65582 -0.17920 0.20511
0.10952 0.65464 -0.17794 0.20816
0.11190 0.65341 -0.17662 0.21124
0.11429 0.65214 -0.17522 0.21434
0.11667 0.65083 -0.17377 0.21747
0.11905 0.64947 -0.17226 0.22062
0.12143 0.64807 -0.17068 0.22379
0.12381 0.64662 -0.16904 0.22697
0.12619 0.64514 -0.16733 0.23015
0.12857 0.64361 -0.16557 0.23335
0.13095 0.64204 -0.16374 0.23654
0.13333 0.64044 -0.16185 0.23973
0.13571 0.63879 -0.15990 0.24291
0.13810 0.63711 -0.15789 0.24608
0.14048 0.63539 -0.15583 0.24925
0.14286 0.63363 -0.15370 0.25239
0.14524 0.63183 -0.15152 0.25551
0.14762 0.63000 -0.14928 0.25860
0.15000 0.62814 -0.14698 0.26168
0.15238 0.62624 -0.14464 0.26472
0.15476 0.62431 -0.14223 0.26773
0.15714 0.62234 -0.13977 0.27070
0.15952 0.62035 -0.13727 0.27364
0.16190 0.61832 -0.13471 0.27653
0.16429 0.61626 -0.13211 0.27939
0.16667 0.61418 -0.12945 0.28219
0.16905 0.61206 -0.12675 0.28494
0.17143 0.60992 -0.12400 0.28765
0.17381 0.60775 -0.12122 0.29031
0.17619 0.60556 -0.11838 0.29291
0.17857 0.60334 -0.11551 0.29544
0.18095 0.60109 -0.11260 0.29793
0.18333 0.59882 -0.10965 0.30035
0.18571 0.59653 -0.10666 0.30271
0.18810 0.59422 -0.10364 0.30500
0.19048 0.59188 -0.10058 0.30723
0.19286 0.58953 -0.09749 0.30939
0.19524 0.58715 -0.09437 0.31148
0.19762 0.58476 -0.09122 0.31350
0.20000 0.58234 -0.08803 0.31545
0.20238 0.57991 -0.08483 0.31732
0.20476 0.57747 -0.08160 0.31912
0.20714 0.57500 -0.07834 0.32085
0.20952 0.57253 -0.07506 0.32249
0.21190 0.57004 -0.07175 0.32406
0.21429 0.56754 -0.06843 0.32555
0.21667 0.56502 -0.06509 0.32696
0.21905 0.56250 -0.06173 0.32829
0.22143 0.55996 -0.05835 0.32954
