demo run with success.

log:

Computing BASELINE Forcing Term (w/o Obstacle) ...
Done
Building Feature Matrix from Demo Setting #1/1 ...
Done
Performing Moore-Penrose Inverse ...
Done
Logging Learning Obstacle Avoidance Data ...
Done
Learning Obstacle Avoidance Coupling Term is Done.
0.34524 0.66959 -0.19314 0.13995
0.34762 0.66956 -0.19313 0.13998
0.35000 0.66954 -0.19312 0.14001
0.35238 0.66951 -0.19311 0.14004
0.35476 0.66948 -0.19309 0.14007
0.35714 0.66945 -0.19308 0.14010
0.35952 0.66942 -0.19307 0.14013
0.36190 0.66939 -0.19305 0.14017
0.36429 0.66936 -0.19304 0.14020
0.36667 0.66933 -0.19303 0.14023
0.36905 0.66930 -0.19301 0.14026
0.37143 0.66927 -0.19300 0.14030
0.37381 0.66924 -0.19299 0.14033
0.37619 0.66921 -0.19297 0.14036
0.37857 0.66918 -0.19296 0.14040
0.38095 0.66915 -0.19294 0.14043
0.38333 0.66912 -0.19293 0.14047
0.38571 0.66909 -0.19291 0.14050
0.38810 0.66905 -0.19290 0.14054
0.39048 0.66902 -0.19288 0.14057
0.39286 0.66899 -0.19287 0.14061
0.39524 0.66895 -0.19285 0.14064
0.39762 0.66892 -0.19284 0.14068
0.40000 0.66889 -0.19282 0.14072
0.40238 0.66885 -0.19280 0.14075
0.40476 0.66882 -0.19279 0.14079
0.40714 0.66878 -0.19277 0.14083
0.40952 0.66875 -0.19276 0.14087
0.41190 0.66871 -0.19274 0.14090
0.41429 0.66867 -0.19272 0.14094
0.41667 0.66864 -0.19270 0.14098
0.41905 0.66860 -0.19269 0.14102
0.42143 0.66856 -0.19267 0.14106
0.42381 0.66853 -0.19265 0.14110
0.42619 0.66849 -0.19263 0.14114
0.42857 0.66845 -0.19262 0.14118
0.43095 0.66841 -0.19260 0.14122
0.43333 0.66837 -0.19258 0.14126
0.43571 0.66833 -0.19256 0.14130
0.43810 0.66829 -0.19254 0.14134
0.44048 0.66825 -0.19252 0.14138
0.44286 0.66821 -0.19250 0.14142
0.44524 0.66817 -0.19248 0.14146
0.44762 0.66813 -0.19246 0.14150
0.45000 0.66809 -0.19244 0.14155
0.45238 0.66805 -0.19242 0.14159
0.45476 0.66801 -0.19240 0.14163
0.45714 0.66796 -0.19238 0.14167
0.45952 0.66792 -0.19236 0.14172
0.46190 0.66788 -0.19234 0.14176
0.46429 0.66783 -0.19232 0.14181
0.46667 0.66779 -0.19230 0.14185
0.46905 0.66775 -0.19228 0.14189
0.47143 0.66770 -0.19226 0.14194
0.47381 0.66766 -0.19224 0.14198
0.47619 0.66761 -0.19221 0.14203
0.47857 0.66756 -0.19219 0.14208
0.48095 0.66752 -0.19217 0.14212
0.48333 0.66747 -0.19215 0.14217
0.48571 0.66743 -0.19212 0.14221
0.48810 0.66738 -0.19210 0.14226
0.49048 0.66733 -0.19208 0.14231
0.49286 0.66728 -0.19205 0.14236
0.49524 0.66723 -0.19203 0.14240
0.49762 0.66719 -0.19201 0.14245
0.50000 0.66714 -0.19198 0.14250
0.50238 0.66709 -0.19196 0.14255
0.50476 0.66704 -0.19193 0.14260
0.50714 0.66699 -0.19191 0.14265
0.50952 0.66694 -0.19188 0.14270
0.51190 0.66689 -0.19186 0.14275
0.51429 0.66683 -0.19183 0.14280
0.51667 0.66678 -0.19181 0.14285
0.51905 0.66673 -0.19178 0.14290
0.52143 0.66668 -0.19176 0.14295
0.52381 0.66662 -0.19173 0.14300
0.52619 0.66657 -0.19170 0.14305
0.52857 0.66652 -0.19168 0.14310
0.53095 0.66646 -0.19165 0.14315
0.53333 0.66641 -0.19162 0.14321
0.53571 0.66635 -0.19159 0.14326
0.53810 0.66630 -0.19157 0.14331
0.54048 0.66624 -0.19154 0.14337
0.54286 0.66618 -0.19151 0.14342
0.54524 0.66613 -0.19148 0.14347
0.54762 0.66607 -0.19145 0.14353
0.55000 0.66601 -0.19142 0.14358
0.55238 0.66595 -0.19139 0.14364
0.55476 0.66590 -0.19136 0.14369
0.55714 0.66584 -0.19134 0.14375
0.55952 0.66578 -0.19131 0.14380
0.56190 0.66572 -0.19127 0.14386
0.56429 0.66566 -0.19124 0.14391
0.56667 0.66560 -0.19121 0.14397
0.56905 0.66554 -0.19118 0.14403
0.57143 0.66548 -0.19115 0.14408
0.57381 0.66541 -0.19112 0.14414
0.57619 0.66535 -0.19109 0.14420
0.57857 0.66529 -0.19106 0.14426
0.58095 0.66523 -0.19102 0.14431
0.58333 0.66516 -0.19099 0.14437
0.58571 0.66510 -0.19096 0.14443
0.58810 0.66503 -0.19093 0.14449
0.59048 0.66497 -0.19089 0.14455
0.59286 0.66491 -0.19086 0.14461
0.59524 0.66484 -0.19083 0.14467
0.59762 0.66477 -0.19079 0.14473
0.60000 0.66471 -0.19076 0.14479
0.60238 0.66464 -0.19072 0.14485
0.60476 0.66457 -0.19069 0.14491
0.60714 0.66451 -0.19065 0.14498
0.60952 0.66444 -0.19062 0.14504
0.61190 0.66437 -0.19058 0.14510
0.61429 0.66430 -0.19055 0.14516
0.61667 0.66423 -0.19051 0.14522
0.61905 0.66416 -0.19047 0.14529
0.62143 0.66409 -0.19044 0.14535
0.62381 0.66402 -0.19040 0.14541
0.62619 0.66395 -0.19036 0.14548
0.62857 0.66387 -0.19033 0.14554
0.63095 0.66380 -0.19029 0.14561
0.63333 0.66373 -0.19025 0.14567
0.63571 0.66366 -0.19021 0.14574
0.63810 0.66358 -0.19017 0.14580
0.64048 0.66351 -0.19013 0.14587
0.64286 0.66343 -0.19009 0.14593
0.64524 0.66336 -0.19005 0.14600
0.64762 0.66328 -0.19001 0.14606
0.65000 0.66321 -0.18997 0.14613
0.65238 0.66313 -0.18993 0.14620
0.65476 0.66305 -0.18989 0.14627
0.65714 0.66298 -0.18985 0.14633
0.65952 0.66290 -0.18981 0.14640
0.66190 0.66282 -0.18976 0.14647
0.66429 0.66274 -0.18972 0.14654
0.66667 0.66266 -0.18968 0.14661
0.66905 0.66258 -0.18964 0.14668
0.67143 0.66250 -0.18959 0.14675
0.67381 0.66242 -0.18955 0.14681
0.67619 0.66234 -0.18951 0.14688
0.67857 0.66226 -0.18946 0.14695
0.68095 0.66218 -0.18942 0.14703
0.68333 0.66209 -0.18937 0.14710
0.68571 0.66201 -0.18933 0.14717
0.68810 0.66193 -0.18929 0.14724
0.69048 0.66184 -0.18924 0.14731
0.69286 0.66176 -0.18919 0.14738
0.69524 0.66167 -0.18915 0.14745
0.69762 0.66159 -0.18910 0.14753
0.70000 0.66150 -0.18906 0.14760
0.70238 0.66142 -0.18901 0.14767
0.70476 0.66133 -0.18896 0.14775
0.70714 0.66124 -0.18891 0.14782
0.70952 0.66116 -0.18887 0.14789
0.71190 0.66107 -0.18882 0.14797
0.71429 0.66098 -0.18877 0.14804
0.71667 0.66089 -0.18872 0.14812
0.71905 0.66080 -0.18867 0.14819
0.72143 0.66071 -0.18862 0.14827
0.72381 0.66062 -0.18857 0.14834
0.72619 0.66053 -0.18852 0.14842
0.72857 0.66044 -0.18847 0.14850
0.73095 0.66034 -0.18842 0.14857
0.73333 0.66025 -0.18837 0.14865
0.73571 0.66016 -0.18831 0.14873
0.73810 0.66006 -0.18826 0.14880
0.74048 0.65997 -0.18821 0.14888
0.74286 0.65988 -0.18816 0.14896
0.74524 0.65978 -0.18810 0.14904
0.74762 0.65968 -0.18805 0.14911
0.75000 0.65959 -0.18800 0.14919
0.75238 0.65949 -0.18794 0.14927
0.75476 0.65939 -0.18789 0.14935
0.75714 0.65930 -0.18783 0.14943
0.75952 0.65920 -0.18778 0.14951
0.76190 0.65910 -0.18772 0.14959
0.76429 0.65900 -0.18766 0.14967
0.76667 0.65890 -0.18761 0.14975
0.76905 0.65880 -0.18755 0.14983
0.77143 0.65870 -0.18749 0.14991
0.77381 0.65860 -0.18744 0.14999
0.77619 0.65850 -0.18738 0.15007
0.77857 0.65840 -0.18732 0.15016
0.78095 0.65829 -0.18726 0.15024
0.78333 0.65819 -0.18720 0.15032
0.78571 0.65809 -0.18714 0.15040
0.78810 0.65798 -0.18708 0.15049
0.79048 0.65788 -0.18702 0.15057
0.79286 0.65777 -0.18696 0.15065
0.79524 0.65767 -0.18690 0.15074
0.79762 0.65756 -0.18684 0.15082
0.80000 0.65745 -0.18678 0.15090
0.80238 0.65735 -0.18672 0.15099
0.80476 0.65724 -0.18666 0.15107
0.80714 0.65713 -0.18660 0.15116
0.80952 0.65702 -0.18653 0.15124
0.81190 0.65691 -0.18647 0.15133
0.81429 0.65680 -0.18641 0.15142
0.81667 0.65669 -0.18634 0.15150
0.81905 0.65658 -0.18628 0.15159
0.82143 0.65647 -0.18621 0.15167
0.82381 0.65636 -0.18615 0.15176
0.82619 0.65625 -0.18608 0.15185
0.82857 0.65614 -0.18602 0.15193
0.83095 0.65602 -0.18595 0.15202
0.83333 0.65591 -0.18588 0.15211
0.83571 0.65579 -0.18582 0.15220
0.83810 0.65568 -0.18575 0.15229
0.84048 0.65556 -0.18568 0.15237
0.84286 0.65545 -0.18561 0.15246
0.84524 0.65533 -0.18554 0.15255
0.84762 0.65521 -0.18547 0.15264
0.85000 0.65510 -0.18540 0.15273
0.85238 0.65498 -0.18533 0.15282
0.85476 0.65486 -0.18526 0.15291
0.85714 0.65474 -0.18519 0.15300
0.85952 0.65462 -0.18512 0.15309
0.86190 0.65450 -0.18505 0.15318
0.86429 0.65438 -0.18498 0.15327
0.86667 0.65426 -0.18490 0.15336
0.86905 0.65414 -0.18483 0.15345
0.87143 0.65402 -0.18476 0.15354
0.87381 0.65389 -0.18468 0.15364
0.87619 0.65377 -0.18461 0.15373
0.87857 0.65365 -0.18453 0.15382
0.88095 0.65352 -0.18446 0.15391
0.88333 0.65340 -0.18438 0.15401
0.88571 0.65327 -0.18431 0.15410
0.88810 0.65315 -0.18423 0.15419
0.89048 0.65302 -0.18416 0.15429
0.89286 0.65290 -0.18408 0.15438
0.89524 0.65277 -0.18400 0.15447
0.89762 0.65264 -0.18392 0.15457
0.90000 0.65251 -0.18385 0.15466
0.90238 0.65238 -0.18377 0.15476
0.90476 0.65226 -0.18369 0.15485
0.90714 0.65213 -0.18361 0.15495
0.90952 0.65200 -0.18353 0.15504
0.91190 0.65186 -0.18345 0.15514
0.91429 0.65173 -0.18337 0.15523
0.91667 0.65160 -0.18329 0.15533
0.91905 0.65147 -0.18321 0.15542
0.92143 0.65134 -0.18313 0.15552
0.92381 0.65120 -0.18304 0.15562
0.92619 0.65107 -0.18296 0.15571
0.92857 0.65094 -0.18288 0.15581
0.93095 0.65080 -0.18279 0.15591
0.93333 0.65066 -0.18271 0.15600
0.93571 0.65053 -0.18262 0.15610
0.93810 0.65039 -0.18254 0.15620
0.94048 0.65026 -0.18245 0.15630
0.94286 0.65012 -0.18237 0.15639
0.94524 0.64998 -0.18228 0.15649
0.94762 0.64984 -0.18219 0.15659
0.95000 0.64970 -0.18211 0.15669
0.95238 0.64956 -0.18202 0.15679
0.95476 0.64942 -0.18193 0.15689
0.95714 0.64928 -0.18184 0.15698
0.95952 0.64914 -0.18175 0.15708
0.96190 0.64900 -0.18166 0.15718
0.96429 0.64886 -0.18157 0.15728
0.96667 0.64871 -0.18148 0.15738
0.96905 0.64857 -0.18139 0.15748
0.97143 0.64843 -0.18130 0.15758
0.97381 0.64828 -0.18121 0.15768
0.97619 0.64814 -0.18111 0.15778
0.97857 0.64799 -0.18102 0.15789
0.98095 0.64785 -0.18093 0.15799
0.98333 0.64770 -0.18084 0.15809
0.98571 0.64755 -0.18074 0.15819
0.98810 0.64741 -0.18065 0.15829
0.99048 0.64726 -0.18055 0.15839
0.99286 0.64711 -0.18046 0.15849
0.99524 0.64696 -0.18036 0.15860
0.99762 0.64681 -0.18026 0.15870
1.00000 0.64666 -0.18017 0.15880
1.00238 0.64651 -0.18007 0.15890
1.00476 0.64636 -0.17997 0.15901
1.00714 0.64621 -0.17988 0.15911
1.00952 0.64606 -0.17978 0.15921
1.01190 0.64590 -0.17968 0.15932
1.01429 0.64575 -0.17958 0.15942
1.01667 0.64560 -0.17948 0.15952
1.01905 0.64544 -0.17938 0.15963
1.02143 0.64529 -0.17928 0.15973
1.02381 0.64514 -0.17918 0.15983
1.02619 0.64498 -0.17907 0.15994
1.02857 0.64482 -0.17897 0.16004
1.03095 0.64467 -0.17887 0.16015
1.03333 0.64451 -0.17877 0.16025
1.03571 0.64435 -0.17866 0.16036
1.03810 0.64420 -0.17856 0.16046
1.04048 0.64404 -0.17845 0.16057
1.04286 0.64388 -0.17835 0.16067
1.04524 0.64372 -0.17824 0.16078
1.04762 0.64356 -0.17813 0.16088
1.05000 0.64340 -0.17803 0.16099
1.05238 0.64324 -0.17792 0.16110
1.05476 0.64307 -0.17781 0.16120
1.05714 0.64291 -0.17770 0.16131
1.05952 0.64275 -0.17759 0.16141
1.06190 0.64259 -0.17749 0.16152
1.06429 0.64242 -0.17738 0.16163
1.06667 0.64226 -0.17727 0.16173
1.06905 0.64209 -0.17715 0.16184
1.07143 0.64193 -0.17704 0.16195
1.07381 0.64176 -0.17693 0.16205
1.07619 0.64160 -0.17682 0.16216
1.07857 0.64143 -0.17671 0.16227
1.08095 0.64126 -0.17659 0.16238
1.08333 0.64110 -0.17648 0.16248
1.08571 0.64093 -0.17637 0.16259
1.08810 0.64076 -0.17625 0.16270
1.09048 0.64059 -0.17614 0.16281
1.09286 0.64042 -0.17602 0.16292
1.09524 0.64025 -0.17590 0.16302
1.09762 0.64008 -0.17579 0.16313
1.10000 0.63991 -0.17567 0.16324
1.10238 0.63974 -0.17555 0.16335
1.10476 0.63957 -0.17544 0.16346
1.10714 0.63939 -0.17532 0.16357
1.10952 0.63922 -0.17520 0.16368
1.11190 0.63905 -0.17508 0.16379
1.11429 0.63887 -0.17496 0.16389
1.11667 0.63870 -0.17484 0.16400
1.11905 0.63853 -0.17472 0.16411
1.12143 0.63835 -0.17460 0.16422
1.12381 0.63817 -0.17448 0.16433
1.12619 0.63800 -0.17435 0.16444
1.12857 0.63782 -0.17423 0.16455
1.13095 0.63764 -0.17411 0.16466
1.13333 0.63747 -0.17398 0.16477
1.13571 0.63729 -0.17386 0.16488
1.13810 0.63711 -0.17373 0.16499
1.14048 0.63693 -0.17361 0.16510
1.14286 0.63675 -0.17348 0.16521
1.14524 0.63657 -0.17335 0.16532
1.14762 0.63639 -0.17323 0.16543
1.15000 0.63621 -0.17310 0.16554
1.15238 0.63603 -0.17297 0.16565
1.15476 0.63584 -0.17284 0.16577
1.15714 0.63566 -0.17271 0.16588
1.15952 0.63548 -0.17258 0.16599
1.16190 0.63529 -0.17245 0.16610
1.16429 0.63511 -0.17232 0.16621
1.16667 0.63493 -0.17219 0.16632
1.16905 0.63474 -0.17206 0.16643
1.17143 0.63456 -0.17192 0.16654
1.17381 0.63437 -0.17179 0.16665
1.17619 0.63418 -0.17166 0.16677
1.17857 0.63400 -0.17152 0.16688
1.18095 0.63381 -0.17139 0.16699
1.18333 0.63362 -0.17126 0.16710
1.18571 0.63343 -0.17112 0.16721
1.18810 0.63324 -0.17098 0.16732
1.19048 0.63306 -0.17085 0.16744
1.19286 0.63287 -0.17071 0.16755
1.19524 0.63268 -0.17057 0.16766
1.19762 0.63249 -0.17044 0.16777
1.20000 0.63230 -0.17030 0.16789
1.20238 0.63210 -0.17016 0.16800
1.20476 0.63191 -0.17002 0.16811
1.20714 0.63172 -0.16988 0.16822
1.20952 0.63153 -0.16974 0.16834
1.21190 0.63133 -0.16960 0.16845
1.21429 0.63114 -0.16946 0.16856
1.21667 0.63095 -0.16931 0.16867
1.21905 0.63075 -0.16917 0.16879
1.22143 0.63056 -0.16903 0.16890
1.22381 0.63036 -0.16888 0.16901
1.22619 0.63017 -0.16874 0.16912
1.22857 0.62997 -0.16860 0.16924
1.23095 0.62977 -0.16845 0.16935
1.23333 0.62958 -0.16830 0.16946
1.23571 0.62938 -0.16816 0.16958
1.23810 0.62918 -0.16801 0.16969
1.24048 0.62898 -0.16786 0.16980
1.24286 0.62878 -0.16772 0.16991
1.24524 0.62858 -0.16757 0.17003
1.24762 0.62838 -0.16742 0.17014
1.25000 0.62818 -0.16727 0.17025
1.25238 0.62798 -0.16712 0.17037
1.25476 0.62778 -0.16697 0.17048
1.25714 0.62758 -0.16681 0.17059
1.25952 0.62738 -0.16666 0.17071
1.26190 0.62717 -0.16651 0.17082
1.26429 0.62697 -0.16636 0.17093
1.26667 0.62677 -0.16620 0.17105
1.26905 0.62656 -0.16605 0.17116
1.27143 0.62636 -0.16589 0.17127
1.27381 0.62615 -0.16574 0.17139
1.27619 0.62595 -0.16558 0.17150
1.27857 0.62574 -0.16543 0.17161
1.28095 0.62554 -0.16527 0.17173
1.28333 0.62533 -0.16511 0.17184
1.28571 0.62513 -0.16496 0.17195
1.28810 0.62492 -0.16480 0.17207
1.29048 0.62471 -0.16464 0.17218
1.29286 0.62450 -0.16448 0.17230
1.29524 0.62429 -0.16432 0.17241
1.29762 0.62409 -0.16416 0.17252
1.30000 0.62388 -0.16400 0.17264
1.30238 0.62367 -0.16384 0.17275
1.30476 0.62346 -0.16368 0.17286
1.30714 0.62325 -0.16351 0.17298
1.30952 0.62304 -0.16335 0.17309
1.31190 0.62282 -0.16319 0.17320
1.31429 0.62261 -0.16302 0.17332
1.31667 0.62240 -0.16286 0.17343
1.31905 0.62219 -0.16269 0.17355
1.32143 0.62198 -0.16253 0.17366
1.32381 0.62176 -0.16236 0.17377
1.32619 0.62155 -0.16219 0.17389
1.32857 0.62133 -0.16203 0.17400
1.33095 0.62112 -0.16186 0.17411
1.33333 0.62091 -0.16169 0.17423
1.33571 0.62069 -0.16152 0.17434
1.33810 0.62047 -0.16135 0.17445
1.34048 0.62026 -0.16118 0.17457
1.34286 0.62004 -0.16101 0.17468
1.34524 0.61983 -0.16084 0.17479
1.34762 0.61961 -0.16067 0.17491
1.35000 0.61939 -0.16050 0.17502
1.35238 0.61917 -0.16032 0.17513
1.35476 0.61895 -0.16015 0.17525
1.35714 0.61874 -0.15998 0.17536
1.35952 0.61852 -0.15980 0.17547
1.36190 0.61830 -0.15962 0.17559
1.36429 0.61808 -0.15945 0.17570
1.36667 0.61786 -0.15927 0.17581
1.36905 0.61764 -0.15910 0.17593
1.37143 0.61741 -0.15892 0.17604
1.37381 0.61719 -0.15874 0.17615
1.37619 0.61697 -0.15856 0.17626
1.37857 0.61675 -0.15838 0.17638
1.38095 0.61653 -0.15820 0.17649
1.38333 0.61630 -0.15802 0.17660
1.38571 0.61608 -0.15784 0.17672
1.38810 0.61586 -0.15766 0.17683
1.39048 0.61563 -0.15748 0.17694
1.39286 0.61541 -0.15730 0.17705
1.39524 0.61518 -0.15711 0.17717
1.39762 0.61496 -0.15693 0.17728
1.40000 0.61473 -0.15675 0.17739
1.40238 0.61451 -0.15656 0.17751
1.40476 0.61428 -0.15638 0.17762
