demo run with success.

log:

0.16000 0.04199 0.44485 -0.22867
0.16100 0.04243 0.44461 -0.24264
0.16200 0.04288 0.44435 -0.25330
0.16300 0.04332 0.44409 -0.26058
0.16400 0.04377 0.44383 -0.26439
0.16500 0.04421 0.44356 -0.26466
0.16600 0.04465 0.44330 -0.26132
0.16700 0.04510 0.44305 -0.25430
0.16800 0.04554 0.44280 -0.24355
0.16900 0.04598 0.44257 -0.22902
0.17000 0.04643 0.44236 -0.21067
0.17100 0.04687 0.44218 -0.18846
0.17200 0.04731 0.44201 -0.16236
0.17300 0.04775 0.44188 -0.13234
0.17400 0.04819 0.44178 -0.09840
0.17500 0.04864 0.44172 -0.06053
0.17600 0.04908 0.44170 -0.01871
0.17700 0.04952 0.44173 0.02704
0.17800 0.04996 0.44181 0.07672
0.17900 0.05040 0.44194 0.13031
0.18000 0.05085 0.44213 0.18779
0.18100 0.05129 0.44237 0.24912
0.18200 0.05173 0.44269 0.31429
0.18300 0.05217 0.44307 0.38324
0.18400 0.05262 0.44353 0.45594
0.18500 0.05306 0.44406 0.53232
0.18600 0.05350 0.44467 0.61235
0.18700 0.05395 0.44537 0.69595
0.18800 0.05439 0.44615 0.78307
0.18900 0.05484 0.44703 0.87364
0.19000 0.05529 0.44799 0.96758
0.19100 0.05573 0.44906 1.06482
0.19200 0.05618 0.45022 1.16527
0.19300 0.05663 0.45149 1.26886
0.19400 0.05709 0.45287 1.37549
0.19500 0.05754 0.45435 1.48508
0.19600 0.05799 0.45595 1.59753
0.19700 0.05845 0.45766 1.71274
0.19800 0.05891 0.45949 1.83062
0.19900 0.05937 0.46144 1.95105
0.20000 0.05983 0.46352 2.07395
0.20100 0.06029 0.46572 2.19920
0.20200 0.06076 0.46804 2.32669
0.20300 0.06122 0.47050 2.45632
0.20400 0.06170 0.47309 2.58796
0.20500 0.06217 0.47581 2.72152
0.20600 0.06264 0.47867 2.85687
0.20700 0.06312 0.48166 2.99391
0.20800 0.06360 0.48479 3.13251
0.20900 0.06409 0.48807 3.27256
0.21000 0.06458 0.49148 3.41395
0.21100 0.06507 0.49504 3.55655
0.21200 0.06556 0.49874 3.70026
0.21300 0.06606 0.50258 3.84495
0.21400 0.06656 0.50657 3.99053
0.21500 0.06707 0.51071 4.13686
0.21600 0.06758 0.51499 4.28385
0.21700 0.06810 0.51942 4.43137
0.21800 0.06862 0.52400 4.57933
0.21900 0.06914 0.52873 4.72763
0.22000 0.06967 0.53361 4.87614
0.22100 0.07020 0.53863 5.02479
0.22200 0.07074 0.54381 5.17346
0.22300 0.07129 0.54913 5.32207
0.22400 0.07183 0.55460 5.47053
0.22500 0.07239 0.56022 5.61874
0.22600 0.07295 0.56598 5.76663
0.22700 0.07352 0.57190 5.91413
0.22800 0.07409 0.57796 6.06114
0.22900 0.07467 0.58417 6.20761
0.23000 0.07525 0.59052 6.35347
0.23100 0.07584 0.59702 6.49867
0.23200 0.07644 0.60366 6.64313
0.23300 0.07704 0.61045 6.78683
0.23400 0.07765 0.61738 6.92970
0.23500 0.07827 0.62445 7.07171
0.23600 0.07889 0.63166 7.21283
0.23700 0.07952 0.63902 7.35302
0.23800 0.08016 0.64651 7.49226
0.23900 0.08081 0.65414 7.63053
0.24000 0.08146 0.66191 7.76781
0.24100 0.08213 0.66981 7.90410
0.24200 0.08280 0.67785 8.03938
0.24300 0.08347 0.68602 8.17366
0.24400 0.08416 0.69433 8.30693
0.24500 0.08485 0.70277 8.43920
0.24600 0.08556 0.71134 8.57049
0.24700 0.08627 0.72004 8.70080
0.24800 0.08699 0.72887 8.83014
0.24900 0.08772 0.73783 8.95855
0.25000 0.08845 0.74692 9.08604
0.25100 0.08920 0.75613 9.21263
0.25200 0.08996 0.76547 9.33834
0.25300 0.09072 0.77493 9.46321
0.25400 0.09150 0.78452 9.58726
0.25500 0.09228 0.79423 9.71052
0.25600 0.09308 0.80406 9.83301
0.25700 0.09388 0.81402 9.95477
