demo run with success.

log:

0.00238 0.00000 0.00000 0.00000
0.00476 0.00000 0.00108 0.45344
0.00714 0.00001 0.00320 0.88932
0.00952 0.00003 0.00631 1.30867
0.01190 0.00005 0.01039 1.71248
0.01429 0.00009 0.01539 2.10166
0.01667 0.00014 0.02129 2.47708
0.01905 0.00020 0.02805 2.83957
0.02143 0.00029 0.03565 3.18993
0.02381 0.00039 0.04405 3.52890
0.02619 0.00052 0.05323 3.85722
0.02857 0.00067 0.06318 4.17558
0.03095 0.00085 0.07385 4.48464
0.03333 0.00105 0.08525 4.78505
0.03571 0.00128 0.09734 5.07740
0.03810 0.00154 0.11010 5.36225
0.04048 0.00184 0.12353 5.64010
0.04286 0.00217 0.13761 5.91141
0.04524 0.00253 0.15231 6.17659
0.04762 0.00293 0.16764 6.43594
0.05000 0.00336 0.18356 6.68970
0.05238 0.00384 0.20008 6.93800
0.05476 0.00436 0.21718 7.18086
0.05714 0.00492 0.23484 7.41816
0.05952 0.00552 0.25306 7.64960
0.06190 0.00617 0.27181 7.87474
0.06429 0.00686 0.29107 8.09292
0.06667 0.00760 0.31084 8.30324
0.06905 0.00839 0.33109 8.50460
0.07143 0.00923 0.35180 8.69559
0.07381 0.01011 0.37293 8.87454
0.07619 0.01105 0.39445 9.03951
0.07857 0.01204 0.41633 9.18823
0.08095 0.01309 0.43851 9.31818
0.08333 0.01419 0.46096 9.42654
0.08571 0.01534 0.48360 9.51026
0.08810 0.01654 0.50638 9.56610
0.09048 0.01780 0.52921 9.59065
0.09286 0.01912 0.55202 9.58045
0.09524 0.02049 0.57472 9.53201
0.09762 0.02191 0.59720 9.44194
0.10000 0.02338 0.61936 9.30702
0.10238 0.02491 0.64108 9.12431
0.10476 0.02649 0.66225 8.89120
0.10714 0.02811 0.68274 8.60554
0.10952 0.02978 0.70242 8.26568
0.11190 0.03150 0.72116 7.87053
0.11429 0.03326 0.73883 7.41960
0.11667 0.03506 0.75529 6.91305
0.11905 0.03689 0.77041 6.35165
0.12143 0.03876 0.78407 5.73684
0.12381 0.04065 0.79614 5.07067
0.12619 0.04257 0.80651 4.35581
0.12857 0.04452 0.81507 3.59549
0.13095 0.04647 0.82172 2.79348
0.13333 0.04844 0.82638 1.95407
0.13571 0.05041 0.82895 1.08197
0.13810 0.05239 0.82939 0.18235
