demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_multi_traj_training_demo
./amd_clmc_dmp_cart_dmp_multi_traj_training_demo /home/amd_clmc/team/workspace/devel


0.00000 0.67118 -0.19380 0.13794
0.00238 0.67118 -0.19380 0.13794
0.00476 0.67118 -0.19380 0.13794
0.00714 0.67118 -0.19380 0.13795
0.00952 0.67117 -0.19380 0.13796
0.01190 0.67115 -0.19380 0.13799
0.01429 0.67112 -0.19379 0.13803
0.01667 0.67107 -0.19379 0.13809
0.01905 0.67101 -0.19377 0.13818
0.02143 0.67092 -0.19376 0.13829
0.02381 0.67082 -0.19373 0.13842
0.02619 0.67069 -0.19370 0.13858
0.02857 0.67054 -0.19366 0.13876
0.03095 0.67036 -0.19361 0.13897
0.03333 0.67015 -0.19355 0.13921
0.03571 0.66992 -0.19348 0.13949
0.03810 0.66965 -0.19339 0.13979
0.04048 0.66934 -0.19329 0.14012
0.04286 0.66901 -0.19316 0.14048
0.04524 0.66863 -0.19302 0.14087
0.04762 0.66822 -0.19287 0.14129
0.05000 0.66777 -0.19268 0.14175
0.05238 0.66728 -0.19248 0.14223
0.05476 0.66675 -0.19225 0.14275
0.05714 0.66617 -0.19200 0.14330
0.05952 0.66555 -0.19172 0.14388
0.06190 0.66489 -0.19141 0.14449
0.06429 0.66418 -0.19106 0.14513
0.06667 0.66342 -0.19069 0.14580
0.06905 0.66261 -0.19029 0.14650
0.07143 0.66175 -0.18985 0.14722
0.07381 0.66085 -0.18937 0.14798
0.07619 0.65989 -0.18886 0.14877
0.07857 0.65888 -0.18831 0.14958
0.08095 0.65782 -0.18772 0.15042
0.08333 0.65671 -0.18709 0.15129
0.08571 0.65554 -0.18641 0.15218
0.08810 0.65432 -0.18570 0.15310
0.09048 0.65305 -0.18494 0.15403
0.09286 0.65172 -0.18413 0.15499
0.09524 0.65035 -0.18328 0.15598
0.09762 0.64892 -0.18238 0.15698
0.10000 0.64743 -0.18143 0.15800
0.10238 0.64589 -0.18043 0.15904
0.10476 0.64431 -0.17939 0.16009
0.10714 0.64266 -0.17829 0.16116
0.10952 0.64097 -0.17714 0.16225
0.11190 0.63923 -0.17594 0.16334
