demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_multi_traj_training_demo
./amd_clmc_dmp_cart_dmp_multi_traj_training_demo /home/amd_clmc/team/workspace/devel


0.00000 0.67118 -0.19380 0.13794
0.00238 0.67118 -0.19380 0.13794
0.00476 0.67118 -0.19380 0.13794
0.00714 0.67118 -0.19380 0.13795
0.00952 0.67117 -0.19380 0.13796
0.01190 0.67115 -0.19380 0.13799
0.01429 0.67112 -0.19379 0.13803
0.01667 0.67107 -0.19379 0.13809
0.01905 0.67101 -0.19377 0.13818
0.02143 0.67092 -0.19376 0.13829
0.02381 0.67082 -0.19373 0.13842
0.02619 0.67069 -0.19370 0.13858
0.02857 0.67054 -0.19366 0.13876
0.03095 0.67037 -0.19361 0.13898
0.03333 0.67016 -0.19355 0.13922
0.03571 0.66992 -0.19347 0.13949
0.03810 0.66966 -0.19338 0.13979
0.04048 0.66935 -0.19328 0.14013
0.04286 0.66902 -0.19316 0.14049
0.04524 0.66865 -0.19302 0.14088
0.04762 0.66824 -0.19286 0.14131
0.05000 0.66779 -0.19267 0.14176
0.05238 0.66730 -0.19247 0.14225
0.05476 0.66677 -0.19224 0.14277
0.05714 0.66620 -0.19198 0.14332
0.05952 0.66558 -0.19170 0.14390
0.06190 0.66492 -0.19139 0.14451
0.06429 0.66421 -0.19105 0.14515
0.06667 0.66345 -0.19067 0.14583
0.06905 0.66265 -0.19027 0.14653
0.07143 0.66179 -0.18983 0.14726
0.07381 0.66089 -0.18935 0.14802
0.07619 0.65993 -0.18883 0.14881
0.07857 0.65893 -0.18828 0.14963
0.08095 0.65787 -0.18769 0.15047
0.08333 0.65676 -0.18706 0.15134
0.08571 0.65559 -0.18638 0.15224
0.08810 0.65438 -0.18566 0.15315
0.09048 0.65311 -0.18490 0.15410
0.09286 0.65179 -0.18410 0.15506
0.09524 0.65041 -0.18324 0.15605
0.09762 0.64898 -0.18234 0.15705
0.10000 0.64750 -0.18139 0.15808
0.10238 0.64597 -0.18039 0.15912
0.10476 0.64438 -0.17934 0.16018
0.10714 0.64274 -0.17824 0.16125
0.10952 0.64105 -0.17709 0.16234
0.11190 0.63931 -0.17589 0.16343
