demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_single_traj_training_demo
./amd_clmc_dmp_cart_dmp_single_traj_training_demo /home/amd_clmc/team/workspace/devel


0.35952 0.44081 0.37240 0.40592
0.36190 0.44082 0.37258 0.40580
0.36429 0.44083 0.37277 0.40566
0.36667 0.44084 0.37296 0.40553
0.36905 0.44085 0.37317 0.40539
0.37143 0.44086 0.37337 0.40524
0.37381 0.44087 0.37359 0.40509
0.37619 0.44089 0.37381 0.40494
0.37857 0.44090 0.37403 0.40479
0.38095 0.44091 0.37427 0.40462
0.38333 0.44093 0.37451 0.40446
0.38571 0.44095 0.37476 0.40429
0.38810 0.44097 0.37501 0.40412
0.39048 0.44099 0.37527 0.40394
0.39286 0.44101 0.37554 0.40375
0.39524 0.44104 0.37582 0.40357
0.39762 0.44106 0.37610 0.40338
0.40000 0.44109 0.37640 0.40318
0.40238 0.44112 0.37670 0.40298
0.40476 0.44116 0.37701 0.40277
0.40714 0.44119 0.37732 0.40256
0.40952 0.44123 0.37765 0.40234
0.41190 0.44127 0.37798 0.40212
0.41429 0.44132 0.37832 0.40189
0.41667 0.44136 0.37867 0.40166
0.41905 0.44141 0.37903 0.40142
0.42143 0.44146 0.37939 0.40118
0.42381 0.44152 0.37977 0.40093
0.42619 0.44158 0.38015 0.40067
0.42857 0.44164 0.38054 0.40041
0.43095 0.44170 0.38094 0.40015
0.43333 0.44177 0.38135 0.39987
0.43571 0.44184 0.38177 0.39960
0.43810 0.44191 0.38220 0.39931
0.44048 0.44199 0.38264 0.39902
0.44286 0.44207 0.38308 0.39872
0.44524 0.44215 0.38354 0.39842
0.44762 0.44224 0.38400 0.39810
0.45000 0.44233 0.38447 0.39779
0.45238 0.44243 0.38496 0.39746
0.45476 0.44252 0.38545 0.39713
0.45714 0.44262 0.38595 0.39679
0.45952 0.44273 0.38646 0.39644
0.46190 0.44284 0.38698 0.39609
0.46429 0.44295 0.38751 0.39572
0.46667 0.44306 0.38805 0.39535
0.46905 0.44318 0.38860 0.39497
0.47143 0.44330 0.38916 0.39459
0.47381 0.44343 0.38973 0.39419
0.47619 0.44356 0.39031 0.39379
0.47857 0.44369 0.39090 0.39338
0.48095 0.44383 0.39150 0.39296
0.48333 0.44397 0.39211 0.39253
0.48571 0.44411 0.39272 0.39209
0.48810 0.44425 0.39335 0.39164
0.49048 0.44440 0.39399 0.39118
0.49286 0.44455 0.39464 0.39071
0.49524 0.44471 0.39530 0.39023
0.49762 0.44487 0.39597 0.38975
0.50000 0.44503 0.39665 0.38925
0.50238 0.44519 0.39734 0.38874
0.50476 0.44536 0.39804 0.38822
0.50714 0.44552 0.39875 0.38769
0.50952 0.44569 0.39947 0.38715
0.51190 0.44587 0.40020 0.38660
0.51429 0.44604 0.40094 0.38604
0.51667 0.44622 0.40169 0.38547
0.51905 0.44639 0.40245 0.38488
0.52143 0.44657 0.40322 0.38429
0.52381 0.44675 0.40400 0.38368
0.52619 0.44693 0.40479 0.38305
0.52857 0.44712 0.40559 0.38242
0.53095 0.44730 0.40641 0.38177
0.53333 0.44748 0.40723 0.38111
0.53571 0.44767 0.40806 0.38044
0.53810 0.44785 0.40891 0.37975
0.54048 0.44804 0.40976 0.37905
0.54286 0.44822 0.41062 0.37834
