demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_multi_traj_training_demo
./amd_clmc_dmp_cart_dmp_multi_traj_training_demo /home/amd_clmc/team/workspace/devel


0.34762 0.42544 0.11359 0.19858
0.35000 0.42447 0.11623 0.19804
0.35238 0.42353 0.11884 0.19750
0.35476 0.42262 0.12140 0.19696
0.35714 0.42173 0.12391 0.19641
0.35952 0.42088 0.12639 0.19585
0.36190 0.42005 0.12882 0.19529
0.36429 0.41926 0.13120 0.19473
0.36667 0.41849 0.13354 0.19416
0.36905 0.41774 0.13584 0.19359
0.37143 0.41703 0.13809 0.19301
0.37381 0.41634 0.14030 0.19243
0.37619 0.41567 0.14246 0.19185
0.37857 0.41503 0.14457 0.19127
0.38095 0.41441 0.14664 0.19069
0.38333 0.41382 0.14867 0.19010
0.38571 0.41325 0.15065 0.18951
0.38810 0.41270 0.15258 0.18893
0.39048 0.41217 0.15446 0.18834
0.39286 0.41167 0.15630 0.18775
0.39524 0.41119 0.15810 0.18717
0.39762 0.41072 0.15985 0.18659
0.40000 0.41028 0.16155 0.18600
0.40238 0.40985 0.16320 0.18543
0.40476 0.40945 0.16481 0.18485
0.40714 0.40906 0.16637 0.18428
0.40952 0.40869 0.16789 0.18371
0.41190 0.40834 0.16936 0.18315
0.41429 0.40800 0.17078 0.18259
0.41667 0.40768 0.17216 0.18204
0.41905 0.40737 0.17349 0.18149
0.42143 0.40709 0.17478 0.18095
0.42381 0.40681 0.17602 0.18043
0.42619 0.40655 0.17721 0.17991
0.42857 0.40630 0.17836 0.17940
0.43095 0.40607 0.17946 0.17890
0.43333 0.40585 0.18051 0.17841
0.43571 0.40564 0.18152 0.17794
0.43810 0.40545 0.18249 0.17747
0.44048 0.40526 0.18341 0.17702
0.44286 0.40509 0.18428 0.17659
0.44524 0.40493 0.18511 0.17617
0.44762 0.40477 0.18589 0.17577
0.45000 0.40463 0.18663 0.17539
0.45238 0.40450 0.18732 0.17502
0.45476 0.40438 0.18797 0.17467
0.45714 0.40427 0.18858 0.17434
0.45952 0.40416 0.18915 0.17403
0.46190 0.40406 0.18967 0.17374
0.46429 0.40398 0.19015 0.17346
0.46667 0.40389 0.19059 0.17321
0.46905 0.40382 0.19099 0.17298
0.47143 0.40375 0.19136 0.17277
0.47381 0.40369 0.19168 0.17258
0.47619 0.40364 0.19197 0.17242
0.47857 0.40359 0.19223 0.17227
0.48095 0.40355 0.19245 0.17214
0.48333 0.40351 0.19265 0.17202
0.48571 0.40348 0.19281 0.17193
0.48810 0.40345 0.19295 0.17185
0.49048 0.40342 0.19307 0.17178
0.49286 0.40340 0.19316 0.17174
0.49524 0.40338 0.19323 0.17170
0.49762 0.40337 0.19328 0.17168
0.00000 0.67076 -0.19186 0.13921
0.00238 0.67076 -0.19186 0.13921
0.00476 0.67076 -0.19186 0.13922
0.00714 0.67076 -0.19187 0.13925
0.00952 0.67076 -0.19187 0.13931
0.01190 0.67076 -0.19188 0.13941
0.01429 0.67075 -0.19189 0.13954
0.01667 0.67075 -0.19191 0.13973
0.01905 0.67075 -0.19192 0.13997
0.02143 0.67073 -0.19194 0.14026
0.02381 0.67072 -0.19195 0.14062
0.02619 0.67070 -0.19196 0.14104
0.02857 0.67067 -0.19197 0.14153
0.03095 0.67063 -0.19198 0.14208
0.03333 0.67058 -0.19198 0.14271
0.03571 0.67051 -0.19197 0.14341
0.03810 0.67044 -0.19195 0.14419
0.04048 0.67034 -0.19192 0.14504
0.04286 0.67023 -0.19188 0.14597
0.04524 0.67011 -0.19183 0.14698
