demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_cart_dmp_single_traj_training_demo
./amd_clmc_dmp_cart_dmp_single_traj_training_demo /home/amd_clmc/team/workspace/devel


0.00000 0.43402 0.36855 0.40674
0.00238 0.43412 0.36857 0.40683
0.00476 0.43421 0.36859 0.40693
0.00714 0.43431 0.36861 0.40702
0.00952 0.43441 0.36863 0.40711
0.01190 0.43450 0.36865 0.40720
0.01429 0.43460 0.36868 0.40729
0.01667 0.43470 0.36870 0.40738
0.01905 0.43479 0.36872 0.40747
0.02143 0.43489 0.36874 0.40756
0.02381 0.43498 0.36876 0.40765
0.02619 0.43508 0.36878 0.40774
0.02857 0.43517 0.36880 0.40783
0.03095 0.43527 0.36882 0.40792
0.03333 0.43537 0.36884 0.40800
0.03571 0.43547 0.36885 0.40809
0.03810 0.43556 0.36887 0.40818
0.04048 0.43566 0.36889 0.40828
0.04286 0.43576 0.36891 0.40837
0.04524 0.43586 0.36893 0.40846
0.04762 0.43596 0.36894 0.40855
0.05000 0.43607 0.36896 0.40864
0.05238 0.43617 0.36898 0.40873
0.05476 0.43627 0.36899 0.40883
0.05714 0.43638 0.36901 0.40892
0.05952 0.43648 0.36903 0.40901
0.06190 0.43659 0.36904 0.40911
0.06429 0.43670 0.36906 0.40920
0.06667 0.43681 0.36907 0.40930
0.06905 0.43692 0.36909 0.40939
0.07143 0.43703 0.36910 0.40949
0.07381 0.43714 0.36912 0.40958
0.07619 0.43726 0.36913 0.40968
0.07857 0.43737 0.36914 0.40978
0.08095 0.43749 0.36916 0.40988
0.08333 0.43761 0.36917 0.40997
0.08571 0.43772 0.36918 0.41007
0.08810 0.43784 0.36919 0.41017
0.09048 0.43796 0.36921 0.41027
0.09286 0.43808 0.36922 0.41036
0.09524 0.43820 0.36923 0.41046
0.09762 0.43833 0.36924 0.41056
0.10000 0.43845 0.36925 0.41066
0.10238 0.43857 0.36926 0.41075
0.10476 0.43870 0.36927 0.41085
0.10714 0.43882 0.36928 0.41095
0.10952 0.43895 0.36929 0.41105
0.11190 0.43908 0.36930 0.41114
0.11429 0.43921 0.36931 0.41124
0.11667 0.43933 0.36932 0.41134
0.11905 0.43946 0.36933 0.41143
